Seq,Subject ID,Action,Share,PathRoot,PathMid,PathTail,fileName,fileType,Bytes,Start Hr,Start Min,Start Sec,Finish Hr,Finish Min,Finish Sec
78,222,CHANGE_DIR,PUBLIC,Users,,Users,EMPTY,EMPTY,55729,7,23,7.502,7,23,9.03
79,222,CHANGE_DIR,PUBLIC,Users,,john,EMPTY,EMPTY,40992,7,23,11.663,7,23,13.118
80,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,SITREPs,3.12SITREP-11-17-11.pdf,.pdf,19653,7,23,15.218,7,23,15.834
81,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Trucks,EMPTY,EMPTY,11871,7,23,19.915,7,23,21.581
82,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Intel,EMPTY,EMPTY,10161,7,23,22.538,7,23,25.345
83,222,WRITE,PUBLIC,Users,john:ConvoyPlanning:,Intel,intel_update_11-21-11.ppt,.ppt,79386,7,23,42.652,7,23,43.311
84,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,Intel,.~lock.intel_update_11-21-11.ppt#,.ppt#,12809,7,23,48.748,7,23,49.16
85,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,Intel,portal.html,.html,1985,7,23,49.359,7,23,49.373
86,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,Intel,notify.py,.py,10353,7,23,52.897,7,23,52.91
87,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,Intel,notify.py,.py,2118,7,23,52.911,7,23,52.923
88,222,CHANGE_DIR,PUBLIC,Users,,Users,EMPTY,EMPTY,55729,7,24,3.098,7,24,5.327
89,222,CHANGE_DIR,PUBLIC,EMPTY,,EMPTY,EMPTY,EMPTY,472,7,24,5.327,7,24,5.529
90,222,CHANGE_DIR,PUBLIC,Users,,john,EMPTY,EMPTY,40756,7,24,8.99,7,24,10.852
91,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,SITREPs,EMPTY,EMPTY,9793,7,24,11.656,7,24,13.22
1,222,RENAME,EMPTY,Users,john:ConvoyPlanning:Crew:,Inbox,EMPTY,EMPTY,53930,15,8,41.141,15,8,41.15
2,222,RENAME,EMPTY,Users,john:ConvoyPlanning:Crew:,Inbox,Ev2_dd_1821_17_Nov - Copy.pdf,.pdf,11913,15,8,41.228,15,8,41.233
3,222,RENAME,IPC$,Users,john:ConvoyPlanning:Crew:,Inbox,EMPTY,EMPTY,43581,15,8,54.53,15,8,54.539
4,222,RENAME,IPC$,Users,john:ConvoyPlanning:Crew:,Inbox,EMPTY,EMPTY,66158,15,9,17.674,15,9,17.684
5,222,RENAME,EMPTY,Users,john:ConvoyPlanning:Crew:,Inbox,EMPTY,EMPTY,870,15,9,17.68,15,9,17.684
6,222,CONNECT,PUBLIC,Users,john:ConvoyPlanning:Crew:,Inbox,EMPTY,EMPTY,27387,15,9,31.948,15,9,33.97
7,222,CHANGE_DIR,PUBLIC,Users,,Users,EMPTY,EMPTY,48329,15,9,34.383,15,9,45.842
8,222,CHANGE_DIR,PUBLIC,Users,john:,ConvoyPlanning,EMPTY,EMPTY,16897,15,9,46.719,15,9,51.421
9,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:Crew:,Inbox,EMPTY,EMPTY,22260,15,9,52.759,15,9,54.506
10,222,CHANGE_DIR,IPC$,Users,john:,ConvoyPlanning,EMPTY,EMPTY,40141,15,10,2.129,15,10,12.548
11,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:Crew:,Inbox,Ev2_dd_1821_17_Nov.pdf,.pdf,9939,15,10,19.868,15,10,20.302
12,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:Crew:,Inbox,EMPTY,EMPTY,9679,15,10,41.932,15,10,41.965
13,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Crew,EMPTY,EMPTY,9181,15,10,42.126,15,10,43.295
14,222,OPENMS,PUBLIC,Users,john:ConvoyPlanning:,Crew,Crew_Roster.xls,.xls,17646,15,10,44.097,15,10,54.82
15,222,WRITE,PUBLIC,Users,john:ConvoyPlanning:,Crew,Crew_Roster.xls,.xls,31610,15,11,13.648,15,11,14.097
16,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Crew,EMPTY,EMPTY,12922,15,11,15.908,15,11,17.658
17,222,WRITE,PUBLIC,Users,john:ConvoyPlanning:Crew:,Workflow,log.txt,.txt,7783,15,11,25.908,15,11,35.759
18,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:Crew:,Workflow,EMPTY,EMPTY,11453,15,11,39.564,15,11,39.707
19,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:Crew:,Inbox,EMPTY,EMPTY,10514,15,11,40.911,15,11,45.272
20,222,CHANGE_DIR,PUBLIC,Users,,Users,EMPTY,EMPTY,52786,15,12,18.202,15,12,21.719
21,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Crew,EMPTY,EMPTY,26411,15,12,23.707,15,12,24.835
22,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:Crew:,Inbox,Ev3_dd_1821_17_Nov.pdf,.pdf,17573,15,12,29.047,15,12,29.456
23,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Crew,EMPTY,EMPTY,16244,15,12,32.856,15,12,33.72
24,222,OPENMS,PUBLIC,Users,john:ConvoyPlanning:,Crew,Crew_Roster.xls,.xls,17128,15,12,34.47,15,12,45.126
25,222,WRITE,PUBLIC,Users,john:ConvoyPlanning:,Crew,Crew_Roster.xls,.xls,32621,15,13,13.321,15,13,13.737
26,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Crew,EMPTY,EMPTY,13096,15,13,15.974,15,13,18.19
27,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:Crew:,Workflow,log.txt,.txt,2819,15,13,19.273,15,13,19.76
28,222,WRITE,PUBLIC,Users,john:ConvoyPlanning:Crew:,Workflow,log.txt,.txt,5397,15,13,29.926,15,13,36.211
